player_id,w,l,g,cg,sho,sv,ipouts,h,er,hr,so,BB,ERA,WHIP,BAA,K/9,BB/9,K/BB,VOTE%,inducted
axelrdy01,9,15,59,0,0,0,686.0,269,134,43,164,101.0,5.27,1.618,0.293,6.45,3.98,1.62,0.0,0.0
axforjo01,28,28,403,0,0,141,1152.0,339,150,35,454,215.0,3.52,1.443,0.237,10.64,5.04,2.11,0.0,0.0
ayalabo01,37,44,406,0,0,59,1728.0,581,306,71,541,293.0,4.78,1.517,0.259,8.45,4.58,1.85,0.0,0.0
ayalalu01,38,47,534,0,0,19,1663.0,581,206,54,367,198.0,3.34,1.405,0.278,5.96,3.21,1.85,0.0,0.0
aybarma01,17,18,208,0,0,3,1173.0,413,222,49,273,198.0,5.11,1.5630000000000002,0.26899999999999996,6.28,4.56,1.38,0.0,0.0
aydelja01,5,9,14,13,0,0,372.0,150,66,0,35,41.0,4.79,1.54,0.285,2.54,2.98,0.85,0.0,0.0
ayersbi01,0,3,13,0,0,1,106.0,46,32,7,22,15.0,8.15,1.726,0.315,5.6,3.82,1.47,0.0,0.0
ayersdo01,65,79,299,58,17,15,4286.0,1357,451,23,622,432.0,2.84,1.252,0.257,3.92,2.72,1.44,0.0,0.0
ayraubo01,5,3,54,0,0,0,220.0,68,33,2,42,38.0,4.05,1.445,0.244,5.15,4.66,1.11,0.0,0.0
babicjo01,30,45,112,34,3,1,1776.0,657,324,38,231,229.0,4.93,1.4969999999999999,0.275,3.51,3.48,1.01,0.0,0.0
